	Pearson	Spearman	Kendall	Mutual_Info
Same-sign muon invariant mass	0.00911056476494717	0.02481385542520673	0.017859653594936745	0.0
Isolation: Charged cone angle				0.0
Isolation: Charged cone asymmetry between cone momentum and B momentum	-0.010885314622743556	-0.001399162525506868	-0.0008502189950949455	0.0
Same-sign muon PID muon system flag				0.0
Same-sign muon PID NN score for electron hypothesis	-0.05776493711692917	0.0252305090488786	0.017002446025435065	0.0
Isolation: Charged cone momentum sum z component	-0.026328387970437402	-0.013299699965793516	-0.009056199108314974	0.0
Same-sign muon 4-momentum x component	-0.0025535288744161	0.01450935189553338	0.009652715117281772	0.0
Opposite-sign muon PID muon system flag				0.0
Isolation: Charged cone phi difference between cone momentum and B	-0.03657960282300818	0.005562622760176927	0.0037818794359640163	0.0
Number of reconstructed pp collision in event	-0.010216818683200577	-0.012316393411031449	-0.009289393171610308	0.0
Magnet polarity	-0.0046842468453740195	0.00096786172915517	0.0007902955652132787	0.0
Isolation: Charged cone asymmetry between cone momentum and B momentum z component	-0.01087855853581631	-0.001402439335209864	-0.000851260930137954	0.0
Isolation: Charged cone momentum sum y component	-0.007501175277884321	0.0039371998979375175	0.002630926058021223	0.0
Isolation: Charged cone number of particles contained	-0.023158199306562086	-0.017654688986721165	-0.012320666695109348	0.0
Opposite-sign muon PID NN score for kaon hypothesis	0.020507335004160538	0.011816252579403233	0.007750817794566058	0.0
